item_key,model,pew_dist,matched_n_valid,tv_matched,matched_ppa_n_valid,tv_matched_ppa
RACESURV18a_W43,llama31-instruct,"[0.06681852695520121, 0.4510250569476082, 0.29916476841306, 0.05907365223993925, 0.12391799544419134]",100,0.6308352315869401,100,0.3410250569476082
RACESURV18b_W43,llama31-instruct,"[0.09291362530413626, 0.4431265206812652, 0.20027372262773724, 0.0364963503649635, 0.2271897810218978]",100,0.7432299270072993,100,0.430316301703163
RACESURV18c_W43,llama31-instruct,"[0.0425402613187481, 0.39668793679732606, 0.38726830750531754, 0.09693102400486174, 0.07657247037374658]",100,0.5527316924946823,99,0.3724068395900666
RACESURV18d_W43,llama31-instruct,"[0.14900410521514368, 0.5663676448228676, 0.09578835335259236, 0.014900410521514367, 0.173939486087882]",100,0.4593112361258933,100,0.3703071309107495
RACESURV18e_W43,llama31-instruct,"[0.05360668185269552, 0.352619589977221, 0.21305998481397115, 0.03826879271070615, 0.3424449506454062]",99,0.6556268838728976,99,0.381933227491314
RACESURV18f_W43,llama31-instruct,"[0.0670722433460076, 0.3767300380228137, 0.1314068441064639, 0.02053231939163498, 0.40425855513307984]",100,0.4885931558935361,100,0.4709885931558935
RACESURV2_W43,llama31-instruct,"[0.6171497584541062, 0.18115942028985507, 0.042270531400966184, 0.010869565217391304, 0.14855072463768115]",100,0.2988405797101449,100,0.3079710144927536
RACESURV34a_W43,llama31-instruct,"[0.12206644315757391, 0.21365437366656506, 0.16808899725693385, 0.06949100883876867, 0.4266991770801585]",90,0.1625757729689457,94,0.1722684443637448
RACESURV34b_W43,llama31-instruct,"[0.1365571776155718, 0.2215632603406326, 0.21380778588807786, 0.06067518248175183, 0.36739659367396593]",96,0.3192670316301703,97,0.1172696089497579
RACESURV34c_W43,llama31-instruct,"[0.15776662102540698, 0.19078046554084893, 0.2031036056595162, 0.1597444089456869, 0.288604898828541]",99,0.3131866358703419,98,0.1834669970224511
RACESURV34d_W43,llama31-instruct,"[0.6381878990574643, 0.17862572210398298, 0.035421100638491944, 0.02508361204013378, 0.12268166615992702]",100,0.3608695652173913,100,0.3708695652173913
RACESURV34e_W43,llama31-instruct,"[0.25232221714633774, 0.3630272574996193, 0.05451499923861733, 0.02436424546977311, 0.3057712806456525]",98,0.4152363549348474,98,0.2782636124344667
RACESURV40_W43,llama31-instruct,"[0.10984615384615384, 0.6496923076923077, 0.1453846153846154, 0.0, 0.09507692307692307]",98,0.2321664050235479,100,0.1201538461538461
RACESURV41_W43,llama31-instruct,"[0.058936272160996644, 0.4266091678645584, 0.368471490177288, 0.0, 0.145983069797157]",99,0.2703605291051386,99,0.2316262771461621
RACESURV44_W43,llama31-instruct,"[0.12837108953613807, 0.6045615657266142, 0.13807982740021574, 0.0, 0.1289875173370319]",96,0.5598368392664509,91,0.3263392486693457
RACESURV45_W43,llama31-instruct,"[0.04443672973442111, 0.31921541399062664, 0.39802117687901406, 0.0, 0.2383266793959382]",99,0.3373502425750299,97,0.3579973408110347
RACESURV47a_W43,llama31-instruct,"[0.1975121359223301, 0.23270631067961164, 0.12408980582524272, 0.2503033980582524, 0.1953883495145631]",100,0.6196966019417476,100,0.5296966019417476
RACESURV47b_W43,llama31-instruct,"[0.12037598544572468, 0.20830806549423894, 0.14129775621588841, 0.4105518496058217, 0.11946634323832626]",98,0.5894481503941783,91,0.5564811174271453
RACESURV47c_W43,llama31-instruct,"[0.02034001214329083, 0.05312689738919247, 0.11900425015179114, 0.7468123861566485, 0.06071645415907711]",99,0.2430866037423414,95,0.2216086664749305
RACESURV47d_W43,llama31-instruct,"[0.1676829268292683, 0.33201219512195124, 0.20213414634146343, 0.17164634146341465, 0.12652439024390244]",74,0.5350197758734344,87,0.1324887860947575
AGEMAJ_W41,llama31-instruct,"[0.03709613083366574, 0.1364180295173514, 0.4323893099321899, 0.12046270442760271, 0.2736338252891903]",100,0.3000518548065416,99,0.240627253790397
CLASS_W32,llama31-instruct,"[0.016113438607798906, 0.21559780857234934, 0.4795359329680954, 0.2336448598130841, 0.05510796003867225]",98,0.4184232507053739,99,0.2270204461632112
COMMYRS_W32,llama31-instruct,"[0.05106451096526333, 0.20954057947814952, 0.12822154634224428, 0.20617896590363374, 0.40499439731070913]",100,0.485599487754122,99,0.271660093814728
FAMNEAR_W32,llama31-instruct,"[0.3331285831285831, 0.3441850941850942, 0.3104013104013104, 0.0, 0.012285012285012284]",100,0.2758149058149058,100,0.1377149877149877
GAP21Q15_a_W82,llama31-instruct,"[0.06581494386372436, 0.23693379790940766, 0.2981029810298103, 0.32713898567557104, 0.07200929152148665]",72,0.2666957026713124,95,0.1253336593516311
GAP21Q15_b_W82,llama31-instruct,"[0.15027110766847404, 0.36212238574748257, 0.33501161890007747, 0.12742060418280401, 0.02517428350116189]",48,0.6830622256648593,76,0.2497655835949284
