item_key,baseline_tv,ppa_tv,describe_tv,vs_tv,domain,pew_entropy,entropy_bucket,source
RACESURV2_W43,0.1888405797101449,0.1216908212560386,0.3157004830917875,0.2671497584541063,VALUES,0.6669984433128923,LO_ENT,E6_50
RACESURV34a_W43,0.3238098140810728,0.2438098140810728,0.1266991770801585,0.1266991770801585,FACTS,0.8915783813084388,HI_ENT,E6_50
RACESURV34b_W43,0.3787956204379562,0.3119282238442822,0.0812043795620438,0.0812043795620438,VALUES,0.915558239166904,HI_ENT,E6_50
RACESURV34c_W43,0.4114529134337441,0.4824889700289061,0.1514529134337441,0.112848014605203,FACTS,0.9834454321381676,HI_ENT,E6_50
RACESURV34d_W43,0.3218121009425357,0.1563910003040437,0.3881878990574642,0.3881878990574643,FACTS,0.6601532945956163,LO_ENT,E6_50
RACESURV34e_W43,0.6476777828536623,0.4276777828536622,0.2211207552916095,0.1711207552916095,FACTS,0.8243404627567924,LO_ENT,E6_50
RACESURV40_W43,0.3303076923076923,0.1503076923076923,0.2996923076923077,0.2496923076923076,FACTS,0.6380343193962122,LO_ENT,E6_50
RACESURV41_W43,0.5633908321354416,0.2533908321354416,0.2910637278390033,0.2910637278390033,VALUES,0.7326023524448203,LO_ENT,E6_50
RACESURV44_W43,0.3954384342733857,0.19735860687317,0.3045615657266142,0.2545615657266142,FACTS,0.6867799735677762,LO_ENT,E6_50
RACESURV45_W43,0.5763478562749523,0.5163478562749523,0.3363478562749522,0.3363478562749522,VALUES,0.7526448609427516,LO_ENT,E6_50
RACESURV47a_W43,0.5656067961165049,0.4756067961165048,0.2256067961165048,0.1929004854368932,VALUES,0.9843778367361354,HI_ENT,E6_50
RACESURV47b_W43,0.3203941782898726,0.3481503941782898,0.1087022437841115,0.1003941782898726,VALUES,0.9180000417132268,HI_ENT,E6_50
RACESURV47c_W43,0.2531876138433515,0.2531876138433515,0.1075288403157255,0.2075288403157255,VALUES,0.5446596732828334,LO_ENT,E6_50
RACESURV47d_W43,0.5679878048780488,0.4158536585365854,0.1003048780487804,0.1003048780487804,VALUES,0.9647705044775556,HI_ENT,E6_50
AGEMAJ_W41,0.4776106900678101,0.35714798564020744,0.3060231352213802,0.25285201435979254,VALUES,0.8487740579662572,LO_ENT,E13_50
CLASS_W32,0.08975829842088304,0.10364485981308412,0.21318079278117952,0.09513374154044471,VALUES,0.7761615012764201,LO_ENT,E13_50
COMMYRS_W32,0.33882663678565716,0.34882663678565706,0.21117336321434288,0.25499439731070916,FACTS,0.8912243489684725,LO_ENT,E13_50
